Category-Item,vehicle-class,Unnamed: 0_level_0-Unnamed: 0_level_1,Comfort-Air conditioning,Comfort-Central door locking,Comfort-Cruise control,Comfort-Dual zone climatronic,Comfort-Electric windows,Comfort-Keyless entry,Comfort-Parking sensors,Comfort-Power steering,Comfort-Start / stop system,Comfort-Start button,Drive-Drive system,Drive-Fuel,Drive-Total max power,Drive-Total max torque,Drive-Wheel drive,Electric Engine-Battery capacity,Electric Engine-Battery type,Electric Engine-Battery voltage,Electric Engine-Charging 230V/16A,Electric Engine-Engine type,Electric Engine-Max torque,Electric Engine-Number of engines,Electric Engine-Total max power,Electric Engine-Battery range,Electric Engine-Power consumption,Exterior sizes-Height,Exterior sizes-Length,Exterior sizes-Wheelbase,Exterior sizes-Width,Exterior sizes-Ground clearance,Fuel Engine-Capacity,Fuel Engine-Catalyst,Fuel Engine-Cylinders,Fuel Engine-Engine type,Fuel Engine-Fuel system,Fuel Engine-Fuel tank,Fuel Engine-Max power RPM,Fuel Engine-Max power,Fuel Engine-Max torque RPM,Fuel Engine-Max torque,Fuel Engine-Turbo,Fuel Engine-Valves per cylinder,General Specifications-Carbody,General Specifications-Doors number,General Specifications-End date,General Specifications-Last new price,General Specifications-Number of car seats,General Specifications-Release date,General Specifications-Transmission,Performance-Acceleration 0-100 km/h,Performance-Average consumption,Performance-CO2 Emission,Performance-Energy level,Performance-Extra-urban consumption,Performance-Top speed,Performance-Urban consumption,Transmission  / Gear ratio-Final drive,Transmission  / Gear ratio-RPM at 120 km/h (theoretical),Weights-Empty mass,Weights-Max. permissible mass,Weights-Max. roof load,Fuel Engine-Stroke,Chassis-Rolling Radius Static,Chassis-Rolling Radius Dynamic,Transmission  / Gear ratio-Gear Box Ratios,Weights-Unladen mass,Weights-Running order mass,Weights-Reference mass,Weights-Inertia mass,Exterior sizes-Frontal area,Class-Euro standard car segments
18833,S,25447,yes,yes,yes,no,,no,yes,yes,yes,,fuel engine,diesel,150,500,rear,,,,,,,,,,,1.301,4.134,2.43,1.81,,2143,particle filter,4,dohc,common rail,60,5500,150,1600,500,yes,4,cabriolet,2,available,50850,2,2012,manual,6.5,4.8,124,E,4,244,6.2,2.47,2000,1470,1885,50,99,291.145,306.7475728,[5.1- 2.78- 1.75- 1.25- 1.0- 0.81],1429.5,1504.5,1529.5,1470,2.35481,S
22376,S,30635,yes,yes,416,yes,,no,616,yes,yes,,fuel engine,petrol,316,440,rear,,,,,,,,,,,1.295,4.509,2.45,1.852,,3800,regular,6,dohc,direct injection,64,7500,316,5750,440,no,4,coup?,2,available,151742,4,2015,manual,4.4,9.5,223,G,7.5,306,13.7,3.44,2300,1400,1850,75,77.5,320.885,329.8543689,[3.91- 2.29- 1.55- 1.3- 1.08- 0.88- 0.71],1356.8,1431.8,1456.8,1470,2.39834,S
9575,S,11820,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,135,270,rear,,,,,,,,,,,1.291,4.239,2.496,1.79,,1997,regular,4,dohc,direct injection,55,5000,135,1250,270,yes,4,cabriolet,2,available,51395,2,2013,manual,6.9,6.8,159,E,5.6,235,8.9,3.73,2550,1370,1725,0,90.1,294.875,307.9126214,[3.68- 2.06- 1.31- 1.0- 0.81- 0.68],1332.875,1407.875,1432.875,1360,2.31089,S
5391,S,6662,yes,yes,yes,no,,no,560,yes,yes,,fuel engine,petrol,169,370,front+rear,,,,,,,,,,,1.355,4.177,2.505,1.832,,1984,regular,4,dohc,direct injection,55,4500,169,1600,370,yes,4,cabriolet,2,available,56520,4,2015,automatic,5.6,6.7,154,D,5.6,250,8.5,3.44,2300,1400,1745,75,92.8,303.65,318.8349515,[2.92- 1.79- 1.19- 0.83- 0.86- 0.69],1362.875,1437.875,1462.875,1470,2.48236,S
5380,S,6651,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,diesel,135,380,front,,,,,,,,,,,1.355,4.177,2.505,1.832,,1984,particle filter,4,dohc,common rail,50,3500,135,1750,380,yes,4,cabriolet,2,available,54310,4,2015,manual,7.3,4.3,114,D,3.9,237,5.1,2.76,2050,1335,1680,75,92.8,303.65,318.8349515,[3.77- 2.09- 1.32- 0.92- 0.9- 0.76],1301.25,1376.25,1401.25,1360,2.48236,S
9936,S,12429,yes,yes,yes,no,,no,no,yes,no,,fuel engine,petrol,93,167,rear,,,,,,,,,,,1.245,4.02,2.33,1.72,,1798,regular,4,dohc,multipoint injection,50,6500,93,4500,167,no,4,cabriolet,2,available,31490,2,2014,manual,9.9,7.1,167,F,5.6,194,9.8,4.1,3400,1050,1375,,83.1,287.855,299.1747573,[3.14- 1.89- 1.33- 1.0- 0.81],1016.25,1091.25,1116.25,1130,2.1414,S
7995,S,9583,yes,yes,416,no,,no,541,yes,yes,,fuel engine,petrol,243,370,rear,,,,,,,,,,,1.273,4.404,2.475,1.801,,3436,regular,6,dohc,direct injection,64,6700,243,4500,370,no,4,cabriolet,2,available,92800,2,2014,automatic,4.9,8.2,190,F,6.3,279,11.4,3.25,1900,1350,1685,75,77.5,318.155,326.4563107,[3.91- 2.29- 1.65- 1.3- 1.08- 0.88- 0.62],1306.8,1381.8,1406.8,1360,2.292673,S
6331,S,7726,yes,yes,yes,yes,,no,yes,yes,yes,,fuel engine,petrol,412,755,rear,,,,,,,,,,,1.322,4.57,2.67,1.91,,3855,regular,8,dohc,direct injection,78,7500,412,4750,755,yes,4,cabriolet,2,available,223348,4,2014,automatic,3.6,10.5,250,G,,316,,4.44,3000,1625,,,82,317.74,329.4174757,[3.4- 2.19- 1.63- 1.29- 1.03- 0.84- 0.72],1572.35,1647.35,1672.35,1700,2.52502,S
18173,S,24485,yes,yes,no,yes,,no,no,yes,no,,fuel engine,petrol,419,540,front+rear,,,,,,,,,,,1.184,4.386,2.56,1.9,,5204,regular,10,dohc,direct injection,80,8000,419,6500,540,no,4,cabriolet,2,2013,318570,2,2012,manual,3.9,13.6,327,G,9.6,324,20.5,3.08,2450,1485,1800,,92.8,305.455,314.1262136,[2.56- 1.85- 1.42- 1.14- 0.94- 0.81],1431,1506,1531,1470,2.2496,S
43058,S,61251,yes,yes,yes,yes,,yes,no,yes,no,,fuel engine,petrol,404,632,front+rear,,,,,,,,,,,1.37,4.67,2.78,1.895,,3799,regular,6,dohc,multipoint injection,74,6400,404,3200,632,yes,4,coup?,3,available,163000,2,2015,automatic,2.7,11.8,275,G,8.8,315,17,3.7,2650,1660,1950,,88.4,333.56,345.631068,[4.06- 2.03- 1.6- 1.25- 1.0- 0.8],1610.05,1685.05,1710.05,1700,2.59615,S
